Id	Type	Site	Star	WeaponSkillId	CharacterId	SuitId	LogName
2013001	1	0	3	2013001	0	0	3★ Dual Guns: Standard Pistol
2014001	1	0	4	2014001	0	0	4★ Dual Guns: Tokarev
2015001	1	0	5	2015001	0	0	5★ Dual Guns: Gloomlight
2016001	1	0	6	2016001	0	0	6★ Dual Guns: Wolf Fang
2016002	1	0	6	2016002	0	0	6★ Dual Guns: Zero Scale
2016003	1	0	6	2016003	0	0	6★ Dual Guns: Scion
2022001	2	0	2	2022001	0	0	2★ Katana: Standard Katana
2023001	2	0	3	2023001	0	0	3★ Katana: Combat Katana
2024001	2	0	4	2024001	0	0	4★ Katana: Unbranded Katana
2024002	2	0	4	2024001	0	0	4★ Katana: Unbranded Katana
2025001	2	0	5	2025001	0	0	5★ Katana: Kuji no Sada
2026001	2	0	6	2026001	0	0	6★ Katana: Lotus Berserker
2026002	2	0	6	2026002	0	0	6★ Katana: Inverse - Shadow
2026003	2	0	6	2026003	0	0	6★ Katana: Sirius
2026004	2	0	6	2026004	0	0	6★ Katana: Sakura
2026005	2	0	6	2026005	0	0	6★ Katana: Crimson Birch
2026006	2	0	6	2026006	0	0	6★ Katana: Sariel
2032001	3	0	2	2032001	0	0	2★ Levi-Gun: Levitator
2033001	3	0	3	2033001	0	0	3★ Levi-Gun: Semi-Auto Turret
2034001	3	0	4	2034001	0	0	4★ Levi-Gun: Fish Mount
2035001	3	0	5	2035001	0	0	5★ Levi-Gun: Guardian Mount
2036001	3	0	6	2036001	0	0	6★ Levi-Gun: Type Zero
2036002	3	0	6	2036002	0	0	6★ Levi-Gun: Benediction
2036003	3	0	6	2036003	0	0	6★ Levi-Gun: Dragon Wind
2043001	4	0	3	2043001	0	0	3★ Bow: Practice Bow
2044001	4	0	4	2044001	0	0	4★ Bow: Pulley Bow
2045001	4	0	5	2045001	0	0	5★ Bow: Falcon E-3320
2046001	4	0	6	2046001	0	0	6★ Bow: Ramiel
2046002	4	0	6	2046002	0	0	6★ Bow: Tonitrus
2046003	4	0	6	2046003	0	0	6★ Bow Astraea
2053001	5	0	3	2053001	0	0	3★ Saw: Chainsaw
2054001	5	0	4	2054001	0	0	4★ Saw: Noise
2055001	5	0	5	2055001	0	0	5★ Saw: Lightning Spark
2056001	5	0	6	2056001	0	0	6★ Saw: Inverse - Chimera
2056002	5	0	6	2056002	0	0	6★ Saw: Hydro Heat
2063001	6	0	3	2063001	0	0	3★ Greatsword: Greatsword
2064001	6	0	4	2064001	0	0	4★ Greatsword: Suppressor
