Id	LogName	EquipType	EquipId
1011002	Lee: Palefire	1	2013001
1021001	Lucia: Lotus	2	2022001
1031001	Liv: Eclipse	3	2032001
1041002	Bianca: Zero	4	2043001
1051001	Nanami: Storm	5	2053001
1061002	Kamui: Bastion	6	2063001
1071002	Karenina: Blast	7	2073001
1081002	Watanabe: Nightblade	8	2083001
1021002	Lucia: Dawn	2	2023001
1031002	Liv: Lux	3	2033001
1011003	Lee: Entropy	1	2013001
1031003	Liv: Luminance	3	2033001
1061003	Kamui: Tenebrion	6	2063001
1071003	Karenina: Ember	7	2073001
1051003	Nanami: Pulse	5	2053001
1021003	Lucia: Crimson Abyss	2	2023001
1081003	Watanabe: Astral	8	2083001
1091002	Ayla: Brilliance	9	2093001
1041003	Bianca: Veritas	4	2043001
1111002	Sophia: Silverfang	1	2013001
1121002	Chrome: Arclight	9	2093001
1021004	Lucia: Plume	2	2023001
1131002	Vera: Rozen	2	2023001
1511003	Camu: Crocotta	10	2104001
1141003	Rosetta: Rigor	11	2114001
1521003	Qu: Pavo	13	2134001
1161002	Changyu: Qilin	14	2144001
1171003	Luna: Laurel	17	2174001
1181003	2B	12	2125001
1191003	9S	16	2165001
1201003	A2	15	2155001
1211002	Wanshi: Hypnos	18	2184001
1531003	Selena: Tempest	19	2194001
1121003	Chrome: Glory	20	2204001
1221002	No. 21: XXI	21	2214001
1131003	Vera: Garnet	23	2234001
1541003	Roland: Flambeau	22	2224001
1031004	Liv: Empyrea	24	2244001
1531004	Selena: Capriccio	25	2254001
1551003	Pulao: Dragontoll	26	2264001
1051004	Nanami: Starfarer	27	2274001
1561003	Haicma: Starveil	9	2094001
1071004	Karenina: Scire	28	2284001
1571003	Noan: Arca	29	2294001
1041004	Bianca: Stigmata	30	2304001
1231002	Bambinata: Vitrum	31	2314001
1011004	Lee: Hyperreal	32	2324001
1091003	Ayla: Kaleido	33	2334001
1021005	Lucia: Crimson Weave	34	2344001
1241002	Hanying: Zitherwoe	35	2354001
1221003	No. 21: Feral	36	2364001
1251002	Noctis: Indomitus	37	2374001
1261003	Alisa: Echo	4	2043001
1271003	Lamia: Lost Lullaby	38	2384001
1281002	BLACK★ROCK SHOOTER	39	2395001
1081004	Watanabe: Epitaph	40	2404001
1521004	Qu: Shukra	41	2414001
1291002	Teddy: Decryptor	42	2424001
1171004	Luna: Oblivion	43	2434001
1301002	Bridget: Ardeo	44	2444001
1241003	Hanying: Solacetune	45	2454001
1211003	Wanshi: Lucid Dreamer	46	2464001
1021006	Lucia: Pyroath	47	2474001
1311002	Yata: Fulgor	48	2484001
1051005	Nanami: Startrail	49	2494001
1321003	Ishmael: Parhelion	50	2504001
1331003	Lilith: Daemonissa	51	2514001
1531005	Selena: Pianissimo	52	2524001
1341002	Jetavie: Daybreak	53	2534001
1131004	Vera: Geiravor	54	2544001
1351003	Vergil	55	2555001
1361003	Dante	56	2565001
1041005	Bianca: Crepuscule	57	2574001
1371002	Discord: Secator	58	2584001
1381003	Veronica: Aegis	59	2594001
1031005	Liv: Limpidity	60	2604001
1291003	Teddy: Spectre	61	2614001
1141004	Rosetta: Arete	62	2624001
1391003	Nirvatia: Dirge	63	2634001
1061004	Kamui: Aeternion	64	2644001
1021007	Lucia: Inverse Crown	65	2654001
1401003	Helentine: Lacrimosa	66	2664001
1071005	Karenina: Effulgence	67	2674001
